na,nb,road_length,road_width
0,1,247.574169,30
4,5,650.954853,45
6,7,540.018331,40
8,9,260.488194,30
10,11,266.565969,30
12,13,260.109153,42
17,18,102.824174,30
19,20,24.438470,0
21,22,251.291594,24
27,28,573.575782,30
30,31,373.498719,30
32,33,60.936041,30
36,37,163.627077,22
39,40,54.871697,44
41,42,182.511871,42
43,44,464.734470,30
45,46,830.277334,32
47,48,245.679447,30
49,50,460.501301,48
51,52,470.024940,30
53,54,319.034547,30
59,60,834.914648,36
61,62,375.239267,30
64,65,41.510935,50
66,67,79.149050,32
68,69,534.959831,20
70,71,272.515363,34
72,73,207.214145,30
77,78,258.411987,12
80,81,48.264178,30
82,83,560.046420,30
84,85,237.832056,30
86,87,268.384187,44
88,89,71.224541,16
90,91,208.735477,42
185,186,658.422854,15
187,188,123.978626,32
189,190,83.302336,26
191,192,637.245665,30
193,194,534.997500,30
203,204,737.180629,60
282,283,472.176479,0
284,285,260.131080,44
287,288,43.007197,0
314,315,96.940182,0
316,317,832.331672,30
318,319,340.526977,24
320,321,692.427191,30
322,323,505.856172,30
337,338,283.126927,16
339,340,242.797813,30
341,342,259.674996,60
343,344,248.604480,26
348,349,529.528345,18
350,351,269.484562,30
352,353,958.312688,40
354,355,573.868150,30
357,358,275.907971,30
359,360,45.360348,24
361,362,47.145605,72
363,364,223.833560,40
365,366,60.232283,32
367,368,37.311084,40
369,370,30.192630,25
371,372,259.939595,40
373,374,860.957596,30
375,376,704.799454,30
377,378,629.832729,24
379,380,162.173202,30
381,382,249.022336,30
383,384,779.681468,30
385,386,289.503483,42
388,389,260.569650,30
390,391,229.988924,31
392,393,267.339561,50
394,395,684.863220,60
396,397,270.254637,54
402,403,323.109001,40
404,405,163.089304,22
406,407,210.219421,30
410,411,475.710262,24
412,413,249.105109,38
414,415,227.025394,30
436,437,293.494289,40
440,441,981.801061,35
442,443,37.889492,26
444,445,313.497063,50
446,447,34.297039,62
448,449,33.964327,30
450,451,216.921383,30
452,453,220.503270,40
454,455,213.930635,12
457,458,41.508190,40
459,460,108.873631,14
470,471,878.010379,34
472,473,259.884555,32
474,475,190.942307,32
476,477,240.006772,15
478,479,1033.947206,30
480,481,115.583981,60
483,484,820.053333,34
485,486,324.078811,46
519,520,335.101547,34
524,525,347.772978,48
526,527,286.987406,30
546,547,821.053641,30
548,549,458.132409,34
550,551,131.049183,22
552,553,260.475506,30
554,555,244.621947,34
556,557,252.558325,50
558,559,262.973866,30
561,562,779.150434,30
564,565,905.062249,20
